Country,Year,Maternal mortality ratio (per 100 000 live births),Births attended by skilled health personnel (%),Mortality.num,Lower_bound,Upper_bound,Income
Belgium,1990,9 [ 7 -  10],NA,9,7,10,18650
Belgium,2000,9 [ 8 -  11],NA,9,8,11,28310
Belize,1990,54 [ 45 -  65],NA,54,45,65,3280
Belize,2000,53 [ 45 -  62],NA,53,45,62,6160
Belize,2011,NA,95.1,NA,NA,NA,7940
Benin,1990,576 [ 453 -  726],NA,576,453,726,860
Benin,2000,572 [ 448 -  732],NA,572,448,732,1200
Bhutan,1990,945 [ 697 - 1 260],NA,945,697,1260,1420
Bhutan,2000,423 [ 328 -  538],NA,423,328,538,2860
Bhutan,2012,NA,74.6,NA,NA,NA,6960
Bolivia (Plurinational State of),1990,425 [ 340 -  527],NA,425,340,527,2300
Bolivia (Plurinational State of),2000,334 [ 272 -  416],NA,334,272,416,3340
Bolivia (Plurinational State of),2012,NA,85.1,NA,NA,NA,5400
Bosnia and Herzegovina,2000,17 [ 12 -  24],NA,17,12,24,4840
Botswana,1990,243 [ 149 -  352],NA,243,149,352,5070
Botswana,2000,311 [ 261 -  361],NA,311,261,361,7620
Botswana,2013,NA,99.9,NA,NA,NA,15500
Brazil,1990,104 [ 91 -  119],NA,104,91,119,6300
Brazil,2000,66 [ 64 -  67],NA,66,64,67,8500
Brazil,2013,NA,99.1,NA,NA,NA,14750
Brunei Darussalam,1990,35 [ 25 -  48],NA,35,25,48,49930
Brunei Darussalam,2000,31 [ 25 -  39],NA,31,25,39,59100
Bulgaria,1990,25 [ 21 -  29],NA,25,21,29,4970
Bulgaria,2000,21 [ 18 -  25],NA,21,18,25,6080
Burkina Faso,1990,727 [ 549 -  978],NA,727,549,978,540
Burkina Faso,2000,547 [ 432 -  686],NA,547,432,686,840
Burkina Faso,2010,NA,65.9,NA,NA,NA,1390
Burundi,1990,1 220 [ 848 - 1 760],NA,1220,848,1760,670
Burundi,2000,954 [ 682 - 1 310],NA,954,682,1310,580
Burundi,2010,NA,60.3,NA,NA,NA,710
Cabo Verde,1990,256 [ 141 -  460],NA,256,141,460,1050
Cabo Verde,2000,83 [ 45 -  162],NA,83,45,162,2910
Cabo Verde,2013,NA,92.3,NA,NA,NA,6220
Cambodia,2000,484 [ 396 -  596],NA,484,396,596,1050
Cameroon,1990,728 [ 566 -  926],NA,728,566,926,1640
Cameroon,2000,750 [ 615 -  918],NA,750,615,918,1710
Canada,1990,7 [ 7 -  8],NA,7,7,8,19150
Canada,2000,9 [ 9 -  10],NA,9,9,10,28240
Canada,2011,NA,98.4,NA,NA,NA,40570
Central African Republic,1990,1 290 [ 979 - 1 720],NA,1290,979,1720,500
Central African Republic,2000,1 200 [ 836 - 1 750],NA,1200,836,1750,550
Central African Republic,2010,NA,40.0,NA,NA,NA,880
Chad,1990,1 450 [1 100 - 1 900],NA,1450,1100,1900,710
Chad,2000,1 370 [1 070 - 1 790],NA,1370,1070,1790,730
Chile,1990,57 [ 51 -  64],NA,57,51,64,4140
Chile,2000,31 [ 27 -  34],NA,31,27,34,9320
Chile,2013,NA,99.8,NA,NA,NA,21030
China,1990,97 [ 80 -  117],NA,97,80,117,1010
China,2000,58 [ 52 -  65],NA,58,52,65,2830
Colombia,1990,118 [ 94 -  142],NA,118,94,142,4760
Colombia,2000,97 [ 90 -  104],NA,97,90,104,6520
Colombia,2013,NA,98.7,NA,NA,NA,11890
Comoros,1990,635 [ 414 -  961],NA,635,414,961,1170
Comoros,2000,499 [ 324 -  765],NA,499,324,765,1250
Comoros,2012,NA,82.2,NA,NA,NA,1520
Congo,1990,603 [ 421 -  857],NA,603,421,857,2830
Congo,2000,653 [ 492 -  864],NA,653,492,864,2590
Costa Rica,1990,43 [ 38 -  48],NA,43,38,48,4590
Costa Rica,2000,38 [ 35 -  43],NA,38,35,43,6990
Cote d'Ivoire,1990,745 [ 577 -  964],NA,745,577,964,1710
Cote d'Ivoire,2000,671 [ 522 -  856],NA,671,522,856,2160
Cote d'Ivoire,2011,NA,56.4,NA,NA,NA,2460
Croatia,2000,11 [ 9 -  13],NA,11,9,13,10730
Cuba,1990,58 [ 51 -  65],NA,58,51,65,8580
Cuba,2000,43 [ 39 -  47],NA,43,39,47,8670
Cyprus,1990,16 [ 10 -  26],NA,16,10,26,12500
Cyprus,2000,15 [ 9 -  25],NA,15,9,25,18190
Cyprus,2013,NA,99.9,NA,NA,NA,28830
Czech Republic,2000,7 [ 6 -  8],NA,7,6,8,15320
Czech Republic,2013,NA,99.8,NA,NA,NA,25530
Democratic Republic of the Congo,1990,879 [ 610 - 1 250],NA,879,610,1250,750
Democratic Republic of the Congo,2000,874 [ 639 - 1 160],NA,874,639,1160,410
Democratic Republic of the Congo,2013,NA,80.1,NA,NA,NA,680
Denmark,1990,11 [ 9 -  12],NA,11,9,12,17980
Denmark,2000,9 [ 8 -  10],NA,9,8,10,28240
Denmark,2012,NA,98.2,NA,NA,NA,43200
Djibouti,2000,401 [ 218 -  759],NA,401,218,759,1700
Dominican Republic,1990,198 [ 133 -  292],NA,198,133,292,2950
Dominican Republic,2000,79 [ 74 -  83],NA,79,74,83,5460
Ecuador,1990,185 [ 164 -  211],NA,185,164,211,4380
Ecuador,2000,103 [ 91 -  116],NA,103,91,116,5310
Egypt,1990,106 [ 90 -  128],NA,106,90,128,3800
Egypt,2000,63 [ 56 -  71],NA,63,56,71,6260
El Salvador,1990,157 [ 134 -  185],NA,157,134,185,2820
El Salvador,2000,84 [ 75 -  95],NA,84,75,95,4880
Equatorial Guinea,1990,1 310 [ 819 - 2 080],NA,1310,819,2080,730
Equatorial Guinea,2000,702 [ 457 - 1 060],NA,702,457,1060,6030
Equatorial Guinea,2011,NA,68.3,NA,NA,NA,27630
Eritrea,2000,733 [ 527 -  995],NA,733,527,995,1150
Eritrea,2010,NA,34.1,NA,NA,NA,1050
Estonia,2000,26 [ 21 -  31],NA,26,21,31,9380
Ethiopia,1990,1 250 [ 906 - 1 640],NA,1250,906,1640,410
Ethiopia,2000,897 [ 718 - 1 100],NA,897,718,1100,480
Fiji,1990,63 [ 47 -  98],NA,63,47,98,3790
Fiji,2000,42 [ 33 -  53],NA,42,33,53,5560
Fiji,2013,NA,98.8,NA,NA,NA,7610
Finland,1990,6 [ 5 -  7],NA,6,5,7,17090
Finland,2000,5 [ 4 -  6],NA,5,4,6,25500
France,1990,15 [ 13 -  16],NA,15,13,16,17130
France,2000,12 [ 11 -  13],NA,12,11,13,25560
France,2013,NA,98.3,NA,NA,NA,37580
Gabon,1990,422 [ 290 -  599],NA,422,290,599,11120
Gabon,2000,405 [ 298 -  550],NA,405,298,550,11710
Gabon,2012,NA,89.3,NA,NA,NA,16490
Gambia,1990,1 030 [ 672 - 1 490],NA,1030,672,1490,900
Gambia,2000,887 [ 609 - 1 250],NA,887,609,1250,1190
Gambia,2013,NA,57.2,NA,NA,NA,1620
Georgia,1990,34 [ 29 -  40],NA,34,29,40,5210
Georgia,2000,37 [ 30 -  44],NA,37,30,44,2700
Germany,1990,11 [ 10 -  13],NA,11,10,13,18750
Germany,2000,8 [ 7 -  9],NA,8,7,9,25510
Ghana,1990,634 [ 436 -  911],NA,634,436,911,1200
Ghana,2000,467 [ 342 -  645],NA,467,342,645,1720
Greece,1990,5 [ 4 -  6],NA,5,4,6,12950
Greece,2000,4 [ 3 -  4],NA,4,3,4,18340
Grenada,1990,41 [ 30 -  53],NA,41,30,53,4580
Grenada,2000,29 [ 21 -  38],NA,29,21,38,7210
Guatemala,1990,205 [ 194 -  217],NA,205,194,217,3370
Guatemala,2000,178 [ 170 -  186],NA,178,170,186,4950
Guinea,1990,1 040 [ 782 - 1 360],NA,1040,782,1360,690
Guinea,2000,976 [ 787 - 1 200],NA,976,787,1200,880
Guinea,2012,NA,45.3,NA,NA,NA,1140
Guinea-Bissau,1990,907 [ 512 - 1 540],NA,907,512,1540,930
Guinea-Bissau,2000,800 [ 417 - 1 450],NA,800,417,1450,560
Guyana,1990,171 [ 141 -  197],NA,171,141,197,1450
Guyana,2000,210 [ 185 -  241],NA,210,185,241,3730
Haiti,2012,NA,37.3,NA,NA,NA,1640
Honduras,1990,272 [ 256 -  290],NA,272,256,290,1900
Honduras,2000,133 [ 115 -  154],NA,133,115,154,2680
Honduras,2011,NA,82.8,NA,NA,NA,4110
Hungary,1990,24 [ 21 -  28],NA,24,21,28,8540
Hungary,2000,15 [ 12 -  18],NA,15,12,18,11310
Hungary,2010,NA,99.1,NA,NA,NA,20140
Iceland,1990,7 [ 5 -  9],NA,7,5,9,20580
Iceland,2000,5 [ 3 -  7],NA,5,3,7,28070
India,1990,556 [ 445 -  685],NA,556,445,685,1160
India,2000,374 [ 324 -  437],NA,374,324,437,2040
India,2013,NA,74.4,NA,NA,NA,5350
Indonesia,1990,446 [ 347 -  564],NA,446,347,564,2660
Indonesia,2000,265 [ 213 -  324],NA,265,213,324,4010
Indonesia,2013,NA,87.4,NA,NA,NA,9260
Iran (Islamic Republic of),1990,123 [ 98 -  171],NA,123,98,171,5620
Iran (Islamic Republic of),2000,51 [ 43 -  60],NA,51,43,60,8490
Iraq,2011,NA,90.9,NA,NA,NA,13620
Ireland,1990,11 [ 9 -  13],NA,11,9,13,12050
Ireland,2000,9 [ 8 -  11],NA,9,8,11,24930
Israel,1990,11 [ 10 -  13],NA,11,10,13,13100
Israel,2000,8 [ 7 -  9],NA,8,7,9,21480
Italy,1990,8 [ 7 -  9],NA,8,7,9,17360
Italy,2000,5 [ 4 -  6],NA,5,4,6,25590
Italy,2013,NA,99.9,NA,NA,NA,34100
Jamaica,1990,79 [ 64 -  97],NA,79,64,97,4330
Jamaica,2000,89 [ 79 -  100],NA,89,79,100,6210
Jamaica,2011,NA,98.6,NA,NA,NA,8170
Japan,1990,14 [ 12 -  15],NA,14,12,15,19370
Japan,2000,10 [ 9 -  11],NA,10,9,11,26260
Jordan,1990,110 [ 88 -  140],NA,110,88,140,4340
Jordan,2000,77 [ 66 -  92],NA,77,66,92,6180
Jordan,2012,NA,99.6,NA,NA,NA,11390
Kazakhstan,2000,65 [ 57 -  75],NA,65,57,75,7170
Kazakhstan,2010,NA,99.5,NA,NA,NA,16710
Kenya,1990,687 [ 518 -  899],NA,687,518,899,1250
Kenya,2000,759 [ 615 -  947],NA,759,615,947,1420
Kiribati,1990,234 [ 169 -  330],NA,234,169,330,1600
Kiribati,2000,166 [ 113 -  241],NA,166,113,241,2320
Kiribati,2009,NA,79.8,NA,NA,NA,2430
Kuwait,2000,7 [ 6 -  8],NA,7,6,8,75580
Kyrgyzstan,1990,80 [ 71 -  90],NA,80,71,90,2250
Kyrgyzstan,2000,74 [ 64 -  84],NA,74,64,84,1550
Lao People's Democratic Republic,1990,905 [ 638 - 1 230],NA,905,638,1230,1050
Lao People's Democratic Republic,2000,546 [ 417 -  720],NA,546,417,720,1770
Lao People's Democratic Republic,2011,NA,40.1,NA,NA,NA,3840
Latvia,1990,48 [ 41 -  57],NA,48,41,57,7810
Latvia,2000,30 [ 25 -  35],NA,30,25,35,8050
Lebanon,1990,74 [ 50 -  109],NA,74,50,109,6110
Lebanon,2000,42 [ 30 -  59],NA,42,30,59,9970
Lebanon,2004,NA,98.2,NA,NA,NA,10250
Lesotho,1990,629 [ 422 -  908],NA,629,422,908,1410
Lesotho,2000,649 [ 492 -  861],NA,649,492,861,1710
Liberia,2000,1 270 [ 972 - 1 620],NA,1270,972,1620,360
Liberia,2013,NA,61.1,NA,NA,NA,790
Lithuania,1990,29 [ 24 -  34],NA,29,24,34,9300
Lithuania,2000,16 [ 14 -  20],NA,16,14,20,8480
Lithuania,2006,NA,100.0,NA,NA,NA,16430
Luxembourg,1990,12 [ 9 -  15],NA,12,9,15,28820
Luxembourg,2000,13 [ 10 -  16],NA,13,10,16,46800
Luxembourg,2009,NA,99.9,NA,NA,NA,52190
Madagascar,1990,778 [ 625 -  963],NA,778,625,963,1040
Madagascar,2000,536 [ 441 -  657],NA,536,441,657,1130
Madagascar,2012,NA,44.3,NA,NA,NA,1340
Malawi,1990,957 [ 726 - 1 240],NA,957,726,1240,340
Malawi,2000,890 [ 703 - 1 140],NA,890,703,1140,490
Malawi,2013,NA,87.4,NA,NA,NA,750
Malaysia,1990,79 [ 57 -  99],NA,79,57,99,6300
Malaysia,2000,58 [ 50 -  66],NA,58,50,66,11440
Maldives,2012,NA,95.5,NA,NA,NA,9310
Mali,1990,1 010 [ 802 - 1 260],NA,1010,802,1260,710
Mali,2000,834 [ 682 -  997],NA,834,682,997,990
Mali,2012,NA,57.1,NA,NA,NA,1550
Malta,1990,13 [ 10 -  17],NA,13,10,17,11740
Malta,2000,15 [ 11 -  20],NA,15,11,20,18590
Malta,2013,NA,99.9,NA,NA,NA,28030
Marshall Islands,2011,NA,90.1,NA,NA,NA,4260
Mauritania,1990,859 [ 566 - 1 230],NA,859,566,1230,1350
Mauritania,2000,813 [ 596 - 1 100],NA,813,596,1100,1760
Mauritania,2011,NA,65.1,NA,NA,NA,2610
Mauritius,1990,81 [ 68 -  95],NA,81,68,95,4860
Mauritius,2000,40 [ 33 -  49],NA,40,33,49,8950
Mexico,1990,90 [ 88 -  92],NA,90,88,92,5800
Mexico,2000,77 [ 75 -  78],NA,77,75,78,9990
Micronesia (Federated States of),2000,153 [ 77 -  298],NA,153,77,298,2580
Micronesia (Federated States of),2009,NA,100.0,NA,NA,NA,3330
Mongolia,1990,186 [ 144 -  239],NA,186,144,239,2740
Mongolia,2000,161 [ 140 -  186],NA,161,140,186,3090
Mongolia,2013,NA,98.9,NA,NA,NA,8810
Montenegro,2000,11 [ 7 -  17],NA,11,7,17,6880
Montenegro,2013,NA,99.0,NA,NA,NA,14600
Morocco,1990,317 [ 241 -  387],NA,317,241,387,2550
Morocco,2000,221 [ 186 -  279],NA,221,186,279,3420
Morocco,2011,NA,73.6,NA,NA,NA,6490
Mozambique,1990,1 390 [ 992 - 1 880],NA,1390,992,1880,260
Mozambique,2000,915 [ 706 - 1 160],NA,915,706,1160,410
Mozambique,2011,NA,54.3,NA,NA,NA,910
Namibia,1990,338 [ 250 -  449],NA,338,250,449,3780
Namibia,2000,352 [ 275 -  453],NA,352,275,453,4930
Namibia,2013,NA,88.2,NA,NA,NA,9590
Nepal,1990,901 [ 683 - 1 200],NA,901,683,1200,810
Nepal,2000,548 [ 412 -  713],NA,548,412,713,1260
Netherlands,1990,12 [ 10 -  13],NA,12,10,13,17490
Netherlands,2000,14 [ 13 -  15],NA,14,13,15,30070
New Zealand,1990,18 [ 16 -  21],NA,18,16,21,14200
New Zealand,2000,12 [ 10 -  14],NA,12,10,14,20090
Nicaragua,1990,173 [ 142 -  210],NA,173,142,210,1920
Nicaragua,2000,202 [ 174 -  234],NA,202,174,234,2620
Nicaragua,2011,NA,88.0,NA,NA,NA,4110
Niger,1990,873 [ 691 - 1 090],NA,873,691,1090,590
Niger,2000,794 [ 639 -  996],NA,794,639,996,610
Niger,2012,NA,29.3,NA,NA,NA,880
Nigeria,1990,1 350 [ 893 - 1 820],NA,1350,893,1820,1770
Nigeria,2000,1 170 [ 866 - 1 520],NA,1170,866,1520,1940
Nigeria,2013,NA,35.2,NA,NA,NA,5360
Norway,1990,7 [ 6 -  8],NA,7,6,8,17370
Norway,2000,7 [ 6 -  8],NA,7,6,8,35690
Oman,1990,30 [ 24 -  38],NA,30,24,38,18490
Oman,2000,20 [ 18 -  24],NA,20,18,24,29010
Pakistan,1990,431 [ 288 -  656],NA,431,288,656,2000
Pakistan,2000,306 [ 208 -  446],NA,306,208,446,2640
Pakistan,2012,NA,52.1,NA,NA,NA,4670
Panama,1990,102 [ 86 -  119],NA,102,86,119,4600
Panama,2000,82 [ 72 -  92],NA,82,72,92,7480
Panama,2013,NA,91.4,NA,NA,NA,19290
Papua New Guinea,1990,470 [ 265 -  843],NA,470,265,843,1000
Papua New Guinea,2000,342 [ 177 -  682],NA,342,177,682,1380
Papua New Guinea,2013,NA,43.0,NA,NA,NA,2430
Paraguay,2000,158 [ 142 -  176],NA,158,142,176,4140
Paraguay,2013,NA,95.7,NA,NA,NA,7640
Peru,1990,251 [ 207 -  325],NA,251,207,325,3290
Peru,2000,140 [ 124 -  164],NA,140,124,164,5000
Philippines,1990,152 [ 126 -  175],NA,152,126,175,2550
Philippines,2000,124 [ 110 -  138],NA,124,110,138,3950
Philippines,2013,NA,72.8,NA,NA,NA,7820
Poland,2000,8 [ 7 -  10],NA,8,7,10,10540
Portugal,1990,17 [ 15 -  20],NA,17,15,20,10960
Portugal,2000,13 [ 12 -  15],NA,13,12,15,17340
Qatar,2012,NA,100.0,NA,NA,NA,121750
Republic of Korea,1990,21 [ 19 -  24],NA,21,19,24,8600
Republic of Korea,2000,16 [ 14 -  18],NA,16,14,18,17990
Republic of Korea,2012,NA,99.8,NA,NA,NA,32150
Republic of Moldova,1990,51 [ 45 -  58],NA,51,45,58,4160
Republic of Moldova,2000,49 [ 43 -  56],NA,49,43,56,1870
Republic of Moldova,2012,NA,99.2,NA,NA,NA,4710
Romania,1990,124 [ 108 -  141],NA,124,108,141,5160
Romania,2000,51 [ 44 -  58],NA,51,44,58,5670
Romania,2008,NA,98.7,NA,NA,NA,15280
Russian Federation,1990,63 [ 56 -  72],NA,63,56,72,8000
Russian Federation,2000,57 [ 50 -  64],NA,57,50,64,6650
Russian Federation,2008,NA,99.6,NA,NA,NA,19710
Rwanda,1990,1 300 [ 943 - 1 690],NA,1300,943,1690,550
Rwanda,2000,1 020 [ 825 - 1 230],NA,1020,825,1230,600
Saint Lucia,1990,45 [ 36 -  57],NA,45,36,57,4720
Saint Lucia,2000,54 [ 43 -  68],NA,54,43,68,7060
Saint Lucia,2012,NA,98.7,NA,NA,NA,10260
Saint Vincent and the Grenadines,1990,58 [ 47 -  75],NA,58,47,75,3500
Saint Vincent and the Grenadines,2000,74 [ 58 -  92],NA,74,58,92,5720
Samoa,1990,156 [ 84 -  279],NA,156,84,279,3090
Samoa,2000,93 [ 48 -  181],NA,93,48,181,3080
Saudi Arabia,1990,46 [ 32 -  67],NA,46,32,67,24390
Saudi Arabia,2000,23 [ 16 -  34],NA,23,16,34,29490
Saudi Arabia,2013,NA,98.0,NA,NA,NA,53780
Senegal,1990,540 [ 425 -  688],NA,540,425,688,1160
Senegal,2000,488 [ 382 -  626],NA,488,382,626,1490
Senegal,2012,NA,59.1,NA,NA,NA,2180
Serbia,2000,17 [ 13 -  21],NA,17,13,21,5790
Seychelles,2012,NA,99.0,NA,NA,NA,22220
Sierra Leone,1990,2 630 [1 780 - 3 640],NA,2630,1780,3640,770
Sierra Leone,2000,2 650 [1 980 - 3 460],NA,2650,1980,3460,770
Sierra Leone,2013,NA,59.7,NA,NA,NA,1750
Singapore,1990,12 [ 10 -  15],NA,12,10,15,21930
Singapore,2000,18 [ 15 -  22],NA,18,15,22,40610
Slovakia,1990,11 [ 9 -  14],NA,11,9,14,7680
Slovakia,2000,8 [ 7 -  9],NA,8,7,9,10960
Slovakia,2008,NA,99.5,NA,NA,NA,22840
Slovenia,2000,12 [ 10 -  15],NA,12,10,15,17590
Slovenia,2012,NA,99.8,NA,NA,NA,27610
Solomon Islands,1990,364 [ 241 -  550],NA,364,241,550,790
Solomon Islands,2000,214 [ 146 -  321],NA,214,146,321,1360
Solomon Islands,2006,NA,85.5,NA,NA,NA,1540
South Africa,1990,108 [ 74 -  159],NA,108,74,159,6190
South Africa,2000,85 [ 83 -  87],NA,85,83,87,7370
South Africa,2008,NA,94.3,NA,NA,NA,10960
South Sudan,2010,NA,17.2,NA,NA,NA,2600
Spain,1990,6 [ 6 -  7],NA,6,6,7,13200
Spain,2000,5 [ 5 -  6],NA,5,5,6,21160
Sri Lanka,1990,75 [ 65 -  90],NA,75,65,90,2150
Sri Lanka,2000,57 [ 52 -  63],NA,57,52,63,3850
Sri Lanka,2006,NA,98.6,NA,NA,NA,5640
Sudan,1990,744 [ 529 - 1 050],NA,744,529,1050,1110
Sudan,2000,544 [ 410 -  729],NA,544,410,729,1790
Sudan,2010,NA,19.9,NA,NA,NA,2970
Suriname,1990,127 [ 104 -  155],NA,127,104,155,6700
Suriname,2000,259 [ 219 -  312],NA,259,219,312,7810
Suriname,2010,NA,90.0,NA,NA,NA,13730
Swaziland,1990,635 [ 390 -  995],NA,635,390,995,3660
Swaziland,2000,586 [ 403 -  846],NA,586,403,846,4730
Sweden,1990,8 [ 7 -  9],NA,8,7,9,19010
Sweden,2000,5 [ 5 -  6],NA,5,5,6,27750
Switzerland,1990,8 [ 7 -  10],NA,8,7,10,25940
Switzerland,2000,7 [ 6 -  8],NA,7,6,8,34890
Tajikistan,1990,107 [ 93 -  126],NA,107,93,126,2350
Tajikistan,2000,68 [ 58 -  80],NA,68,58,80,900
Tajikistan,2012,NA,87.4,NA,NA,NA,2340
Thailand,1990,40 [ 34 -  48],NA,40,34,48,4070
Thailand,2000,25 [ 22 -  28],NA,25,22,28,6980
Thailand,2012,NA,99.6,NA,NA,NA,13420
The former Yugoslav republic of Macedonia,1990,14 [ 11 -  18],NA,14,11,18,5220
The former Yugoslav republic of Macedonia,2000,12 [ 10 -  14],NA,12,10,14,5710
Timor-Leste,2000,694 [ 517 -  925],NA,694,517,925,1640
Timor-Leste,2009,NA,29.3,NA,NA,NA,5100
Togo,1990,568 [ 430 -  759],NA,568,430,759,860
Togo,2000,491 [ 367 -  649],NA,491,367,649,1010
Togo,2013,NA,44.6,NA,NA,NA,1180
Tonga,1990,75 [ 41 -  132],NA,75,41,132,2370
Tonga,2000,97 [ 50 -  190],NA,97,50,190,3700
Tonga,2012,NA,95.5,NA,NA,NA,5370
Trinidad and Tobago,1990,90 [ 80 -  103],NA,90,80,103,8040
Trinidad and Tobago,2000,62 [ 54 -  70],NA,62,54,70,12980
Tunisia,1990,131 [ 96 -  175],NA,131,96,175,3420
Tunisia,2000,84 [ 62 -  115],NA,84,62,115,5620
Tunisia,2011,NA,73.6,NA,NA,NA,9720
Turkey,1990,97 [ 63 -  149],NA,97,63,149,4360
Turkey,2000,79 [ 59 -  108],NA,79,59,108,9180
Turkey,2013,NA,97.4,NA,NA,NA,18760
Turkmenistan,2000,59 [ 41 -  80],NA,59,41,80,3990
Turkmenistan,2005,NA,99.5,NA,NA,NA,5400
Tuvalu,2007,NA,93.1,NA,NA,NA,5430
Uganda,1990,687 [ 544 -  877],NA,687,544,877,410
Uganda,2000,620 [ 503 -  766],NA,620,503,766,690
Uganda,2011,NA,58.0,NA,NA,NA,1310
Ukraine,1990,46 [ 41 -  52],NA,46,41,52,6960
Ukraine,2000,34 [ 30 -  39],NA,34,30,39,3710
Ukraine,2012,NA,99.0,NA,NA,NA,8670
United Arab Emirates,2010,NA,100.0,NA,NA,NA,56260
United Kingdom of Great Britain and Northern Ireland,1990,10 [ 9 -  11],NA,10,9,11,15770
United Kingdom of Great Britain and Northern Ireland,2000,12 [ 11 -  12],NA,12,11,12,26280
United Republic of Tanzania,1990,997 [ 775 - 1 280],NA,997,775,1280,640
United Republic of Tanzania,2000,842 [ 671 - 1 050],NA,842,671,1050,820
United Republic of Tanzania,2010,NA,48.9,NA,NA,NA,1500
United States of America,1990,12 [ 11 -  13],NA,12,11,13,23730
United States of America,2000,12 [ 12 -  12],NA,12,12,12,36930
Uruguay,1990,37 [ 32 -  44],NA,37,32,44,6000
Uruguay,2000,31 [ 26 -  36],NA,31,26,36,9960
Uruguay,2013,NA,98.2,NA,NA,NA,18930
Uzbekistan,2000,34 [ 30 -  39],NA,34,30,39,1940
Uzbekistan,2006,NA,99.6,NA,NA,NA,2950
Vanuatu,1990,225 [ 126 -  406],NA,225,126,406,1680
Vanuatu,2000,144 [ 73 -  276],NA,144,73,276,2120
Vanuatu,2013,NA,89.4,NA,NA,NA,2840
Venezuela (Bolivarian Republic of),1990,94 [ 83 -  105],NA,94,83,105,9260
Venezuela (Bolivarian Republic of),2000,90 [ 80 -  100],NA,90,80,100,11340
Viet Nam,1990,139 [ 92 -  186],NA,139,92,186,910
Viet Nam,2000,81 [ 61 -  102],NA,81,61,102,2070
Viet Nam,2013,NA,93.8,NA,NA,NA,5030
Yemen,1990,547 [ 389 -  736],NA,547,389,736,2210
Yemen,2000,440 [ 337 -  573],NA,440,337,573,2930
Yemen,2013,NA,43.0,NA,NA,NA,3820
Zambia,1990,577 [ 449 -  757],NA,577,449,757,1500
Zambia,2000,541 [ 441 -  666],NA,541,441,666,1590
Zambia,2013,NA,64.2,NA,NA,NA,3070
Zimbabwe,1990,440 [ 351 -  523],NA,440,351,523,1590
Zimbabwe,2000,590 [ 534 -  664],NA,590,534,664,1890
